user_id,id,rating
34,450,10
58,32281,10
73,20541,6
107,2593,6
112,32281,10
158,66,6
297,6,5
314,4763,9
336,37621,5
366,23273,6
372,14993,7
399,11061,10
404,4866,10
458,34612,9
469,36884,7
478,24277,8
536,22297,10
542,38940,6
602,1,7
603,9919,7
607,33573,4
707,23775,7
720,5081,7
857,34437,8
872,33371,9
882,6547,9
911,6547,9
943,40156,7
1177,32981,5
1197,30230,9
1209,35557,9
1262,30307,9
1318,532,9
1356,9515,6
1372,530,10
1373,7785,9
1392,581,9
1529,22117,4
1540,9922,8
1621,18245,9
1698,8769,7
1698,2476,6
1710,5081,8
1731,30757,8
1813,9136,6
1817,627,9
1853,668,6
1860,856,7
1884,849,9
1893,1103,7
1900,31914,9
1909,33049,9
1946,10020,10
1995,30885,9
2030,14833,9
2042,1575,9
2204,32936,1
2235,21105,9
2281,8676,8
2292,2917,9
2347,1727,10
2441,30544,5
2441,28907,8
2483,21995,6
2493,902,5
2603,1639,5
2652,576,9
2745,36652,8
2745,30484,9
2745,36873,7
2818,16498,10
2881,7724,7
2924,7674,9
2976,38397,7
3004,555,7
3067,20785,7
3071,1589,7
3098,13759,7
3165,855,9
3226,21561,7
3260,21797,6
3295,1195,7
3295,20,8
3310,11285,6
3323,23273,10
3331,1121,8
3375,15197,10
3407,4224,10
3450,2201,3
3541,15379,6
3610,1535,10
3640,205,7
3681,13405,1
3693,5525,10
3785,31646,9
3792,5,9
3812,5150,10
3833,26443,8
3889,1369,9
3972,21939,7
4002,853,9
4027,22265,7
4027,14345,8
4033,5828,7
4104,225,3
4111,20899,6
4233,37450,9
4361,28285,4
4365,9471,8
4382,326,7
4409,52,8
4435,1943,8
4485,10456,7
4503,13601,10
4610,853,9
4622,24833,8
4655,18897,9
4673,33206,6
4688,6479,5
4711,34626,7
4767,20787,9
4773,1232,5
4801,14719,10
4906,36524,5
4944,34599,9
4968,486,9
5009,3470,7
5009,32282,7
5057,1943,9
5061,6347,9
5207,32282,4
5208,30544,8
5213,20517,6
5230,32051,6
5241,342,7
5243,38826,9
5274,18139,8
5303,32281,10
5357,30363,8
5431,121,8
5434,4087,8
5479,12753,5
5480,10934,7
5483,25875,7
5585,7338,7
5589,11597,7
5612,6166,6
5648,33511,5
5653,23199,8
5747,38555,7
5758,27655,6
5776,39221,7
5824,1143,6
5913,34839,7
6008,39940,7
6074,935,5
6082,49,8
6085,153,8
6115,31964,7
6174,3457,6
6206,759,8
6243,11617,8
6249,338,8
6327,22789,8
6376,20021,8
6435,489,6
6439,4720,7
6480,9253,10
6482,6634,7
6500,1532,8
6509,899,7
6517,268,9
6548,31442,7
6562,22673,8
6572,20931,6
6608,9617,7
6638,20,10
6699,7472,9
6722,10521,7
6730,38483,4
6771,8394,7
6798,2418,9
6809,199,10
6884,37450,10
6915,38408,8
6936,4719,7
6946,11887,5
6948,10213,5
6982,38659,7
6983,14227,8
7003,30127,7
7008,9253,10
7035,576,9
7049,27899,7
7051,6956,7
7089,8918,3
7107,40239,7
7175,1419,7
7176,2993,8
7179,9330,5
7234,1363,7
7263,3653,4
7380,31245,7
7395,28121,6
7505,23847,10
7672,31758,10
7695,2303,6
7698,38000,8
7721,31404,7
7733,21325,5
7736,482,7
7741,38555,8
7867,38826,4
7898,120,6
7908,1218,7
7909,40815,8
7995,41619,6
8006,2593,5
8007,7791,8
8037,32949,8
8074,7745,8
8078,1575,8
